caldt,spindx
15/03/2002,1166.16
18/03/2002,1165.55
19/03/2002,1170.29
20/03/2002,1151.85
21/03/2002,1153.59
22/03/2002,1148.7
25/03/2002,1131.87
26/03/2002,1138.49
27/03/2002,1144.58
28/03/2002,1147.39
1/4/2002,1146.54
2/4/2002,1136.76
3/4/2002,1125.4
4/4/2002,1126.34
5/4/2002,1122.73
8/4/2002,1125.29
9/4/2002,1117.8
10/4/2002,1130.47
11/4/2002,1103.69
12/4/2002,1111.01
15/04/2002,1102.55
16/04/2002,1128.37
17/04/2002,1126.07
18/04/2002,1124.47
19/04/2002,1125.17
22/04/2002,1107.83
23/04/2002,1100.96
24/04/2002,1093.14
25/04/2002,1091.48
26/04/2002,1076.32
29/04/2002,1065.45
30/04/2002,1076.92
1/5/2002,1086.46
2/5/2002,1084.56
3/5/2002,1073.43
6/5/2002,1052.67
7/5/2002,1049.49
8/5/2002,1088.85
9/5/2002,1073.01
10/5/2002,1054.99
13/05/2002,1074.56
14/05/2002,1097.28
15/05/2002,1091.07
16/05/2002,1098.23
17/05/2002,1106.59
20/05/2002,1091.88
21/05/2002,1079.88
22/05/2002,1086.02
23/05/2002,1097.08
24/05/2002,1083.82
28/05/2002,1074.55
29/05/2002,1067.66
30/05/2002,1064.66
31/05/2002,1067.14
3/6/2002,1040.68
4/6/2002,1040.69
5/6/2002,1049.9
6/6/2002,1029.15
7/6/2002,1027.53
10/6/2002,1030.74
11/6/2002,1013.6
12/6/2002,1020.26
13/06/2002,1009.56
14/06/2002,1007.27
17/06/2002,1036.17
18/06/2002,1037.14
19/06/2002,1019.99
20/06/2002,1006.29
21/06/2002,989.14
24/06/2002,992.72
25/06/2002,976.14
26/06/2002,973.53
27/06/2002,990.64
28/06/2002,989.81
1/7/2002,968.65
2/7/2002,948.09
3/7/2002,953.99
5/7/2002,989.03
8/7/2002,976.98
9/7/2002,952.83
10/7/2002,920.47
11/7/2002,927.37
12/7/2002,921.39
15/07/2002,917.93
16/07/2002,901.05
17/07/2002,906.04
18/07/2002,881.56
19/07/2002,847.76
22/07/2002,819.85
23/07/2002,797.7
24/07/2002,843.42
25/07/2002,838.68
26/07/2002,852.84
29/07/2002,898.96
30/07/2002,902.78
31/07/2002,911.62
1/8/2002,884.66
2/8/2002,864.24
5/8/2002,834.6
6/8/2002,859.57
7/8/2002,876.77
8/8/2002,905.46
9/8/2002,908.64
12/8/2002,903.8
13/08/2002,884.21
14/08/2002,919.62
15/08/2002,930.25
16/08/2002,928.77
19/08/2002,950.72
20/08/2002,937.43
21/08/2002,949.36
22/08/2002,962.7
23/08/2002,940.86
26/08/2002,947.95
27/08/2002,934.82
28/08/2002,917.87
29/08/2002,917.8
30/08/2002,916.07
3/9/2002,878.02
4/9/2002,893.4
5/9/2002,879.15
6/9/2002,893.92
9/9/2002,902.96
10/9/2002,909.58
11/9/2002,909.45
12/9/2002,886.91
13/09/2002,889.81
16/09/2002,891.1
17/09/2002,873.52
18/09/2002,869.46
19/09/2002,843.32
20/09/2002,845.39
23/09/2002,833.7
24/09/2002,819.29
25/09/2002,839.66
26/09/2002,854.95
27/09/2002,827.37
30/09/2002,815.29
1/10/2002,847.91
2/10/2002,827.91
3/10/2002,818.95
4/10/2002,800.58
7/10/2002,785.28
8/10/2002,798.55
9/10/2002,776.76
10/10/2002,803.92
11/10/2002,835.32
14/10/2002,841.44
15/10/2002,881.27
16/10/2002,860.02
17/10/2002,879.2
18/10/2002,884.39
21/10/2002,899.72
22/10/2002,890.16
23/10/2002,896.14
24/10/2002,882.5
25/10/2002,897.65
28/10/2002,890.23
29/10/2002,882.15
30/10/2002,890.71
31/10/2002,885.76
1/11/2002,900.96
4/11/2002,908.34
5/11/2002,915.39
6/11/2002,923.76
7/11/2002,902.65
8/11/2002,894.74
11/11/2002,876.19
12/11/2002,882.95
13/11/2002,882.53
14/11/2002,904.27
15/11/2002,909.83
18/11/2002,900.36
19/11/2002,896.74
20/11/2002,914.15
21/11/2002,933.76
22/11/2002,930.55
25/11/2002,932.88
26/11/2002,913.31
27/11/2002,938.87
29/11/2002,936.31
2/12/2002,934.53
3/12/2002,920.75
4/12/2002,917.57
5/12/2002,906.55
6/12/2002,912.23
9/12/2002,892
10/12/2002,904.45
11/12/2002,904.96
12/12/2002,901.59
13/12/2002,889.48
16/12/2002,910.4
17/12/2002,902.99
18/12/2002,891.12
19/12/2002,884.25
20/12/2002,895.75
23/12/2002,897.38
24/12/2002,892.47
26/12/2002,889.66
27/12/2002,875.4
30/12/2002,879.39
31/12/2002,879.82
2/1/2003,909.03
3/1/2003,908.59
6/1/2003,929.01
7/1/2003,922.93
8/1/2003,909.93
9/1/2003,927.58
10/1/2003,927.57
13/01/2003,926.26
14/01/2003,931.66
15/01/2003,918.22
16/01/2003,914.6
17/01/2003,901.78
21/01/2003,887.62
22/01/2003,878.36
23/01/2003,887.34
24/01/2003,861.4
27/01/2003,847.48
28/01/2003,858.54
29/01/2003,864.36
30/01/2003,844.61
31/01/2003,855.7
3/2/2003,860.32
4/2/2003,848.2
5/2/2003,843.59
6/2/2003,838.15
7/2/2003,829.69
10/2/2003,835.97
11/2/2003,829.2
12/2/2003,818.68
13/02/2003,817.37
14/02/2003,834.89
18/02/2003,851.17
19/02/2003,845.13
20/02/2003,837.1
21/02/2003,848.17
24/02/2003,832.58
25/02/2003,838.57
26/02/2003,827.55
27/02/2003,837.28
28/02/2003,841.15
3/3/2003,834.81
4/3/2003,821.99
5/3/2003,829.85
6/3/2003,822.1
7/3/2003,828.89
10/3/2003,807.48
11/3/2003,800.73
12/3/2003,804.19
13/03/2003,831.9
14/03/2003,833.27
17/03/2003,862.79
18/03/2003,866.45
19/03/2003,874.02
20/03/2003,875.67
21/03/2003,895.79
24/03/2003,864.23
25/03/2003,874.74
26/03/2003,869.95
27/03/2003,868.52
28/03/2003,863.5
31/03/2003,848.18
1/4/2003,858.48
2/4/2003,880.9
3/4/2003,876.45
4/4/2003,878.85
7/4/2003,879.93
8/4/2003,878.29
9/4/2003,865.99
10/4/2003,871.58
11/4/2003,868.3
14/04/2003,885.23
15/04/2003,890.81
16/04/2003,879.91
17/04/2003,893.58
21/04/2003,892.01
22/04/2003,911.37
23/04/2003,919.02
24/04/2003,911.43
25/04/2003,898.81
28/04/2003,914.84
29/04/2003,917.84
30/04/2003,916.92
1/5/2003,916.3
2/5/2003,930.08
5/5/2003,926.55
6/5/2003,934.39
7/5/2003,929.62
8/5/2003,920.27
9/5/2003,933.41
12/5/2003,945.11
13/05/2003,942.3
14/05/2003,939.28
15/05/2003,946.67
16/05/2003,944.3
19/05/2003,920.77
20/05/2003,919.73
21/05/2003,923.42
22/05/2003,931.87
23/05/2003,933.22
27/05/2003,951.48
28/05/2003,953.22
29/05/2003,949.64
30/05/2003,963.59
2/6/2003,967
3/6/2003,971.56
4/6/2003,986.24
5/6/2003,990.14
6/6/2003,987.76
9/6/2003,975.93
10/6/2003,984.84
11/6/2003,997.48
12/6/2003,998.51
13/06/2003,988.61
16/06/2003,1010.74
17/06/2003,1011.66
18/06/2003,1010.09
19/06/2003,994.7
20/06/2003,995.69
23/06/2003,981.64
24/06/2003,983.44
25/06/2003,975.31
26/06/2003,985.82
27/06/2003,976.22
30/06/2003,974.5
1/7/2003,982.32
2/7/2003,993.76
3/7/2003,985.7
7/7/2003,1004.42
8/7/2003,1007.84
9/7/2003,1002.21
10/7/2003,988.7
11/7/2003,998.14
14/07/2003,1003.86
15/07/2003,1000.42
16/07/2003,994
17/07/2003,981.73
18/07/2003,993.32
21/07/2003,978.8
22/07/2003,988.11
23/07/2003,988.61
24/07/2003,981.6
25/07/2003,998.68
28/07/2003,996.52
29/07/2003,989.28
30/07/2003,987.49
31/07/2003,990.31
1/8/2003,980.15
4/8/2003,982.82
5/8/2003,965.46
6/8/2003,967.08
7/8/2003,974.12
8/8/2003,977.59
11/8/2003,980.59
12/8/2003,990.35
13/08/2003,984.03
14/08/2003,990.51
15/08/2003,990.67
18/08/2003,999.74
19/08/2003,1002.35
20/08/2003,1000.3
21/08/2003,1003.27
22/08/2003,993.06
25/08/2003,993.71
26/08/2003,996.73
27/08/2003,996.79
28/08/2003,1002.84
29/08/2003,1008.01
2/9/2003,1021.99
3/9/2003,1026.27
4/9/2003,1027.97
5/9/2003,1021.39
8/9/2003,1031.64
9/9/2003,1023.17
10/9/2003,1010.92
11/9/2003,1016.42
12/9/2003,1018.63
15/09/2003,1014.81
16/09/2003,1029.32
17/09/2003,1025.97
18/09/2003,1039.58
19/09/2003,1036.3
22/09/2003,1022.82
23/09/2003,1029.03
24/09/2003,1009.38
25/09/2003,1003.27
26/09/2003,996.85
29/09/2003,1006.58
30/09/2003,995.97
1/10/2003,1018.22
2/10/2003,1020.24
3/10/2003,1029.85
6/10/2003,1034.35
7/10/2003,1039.25
8/10/2003,1033.78
9/10/2003,1038.73
10/10/2003,1038.06
13/10/2003,1045.35
14/10/2003,1049.48
15/10/2003,1046.76
16/10/2003,1050.07
17/10/2003,1039.32
20/10/2003,1044.68
21/10/2003,1046.03
22/10/2003,1030.36
23/10/2003,1033.77
24/10/2003,1028.91
27/10/2003,1031.13
28/10/2003,1046.79
29/10/2003,1048.11
30/10/2003,1046.94
31/10/2003,1050.71
3/11/2003,1059.02
4/11/2003,1053.25
5/11/2003,1051.81
6/11/2003,1058.05
7/11/2003,1053.21
10/11/2003,1047.11
11/11/2003,1046.57
12/11/2003,1058.56
13/11/2003,1058.41
14/11/2003,1050.35
17/11/2003,1043.63
18/11/2003,1034.15
19/11/2003,1042.44
20/11/2003,1033.65
21/11/2003,1035.28
24/11/2003,1052.08
25/11/2003,1053.89
26/11/2003,1058.45
28/11/2003,1058.2
1/12/2003,1070.12
2/12/2003,1066.62
3/12/2003,1064.73
4/12/2003,1069.72
5/12/2003,1061.5
8/12/2003,1069.3
9/12/2003,1060.18
10/12/2003,1059.05
11/12/2003,1071.21
12/12/2003,1074.14
15/12/2003,1068.04
16/12/2003,1075.13
17/12/2003,1076.48
18/12/2003,1089.18
19/12/2003,1088.67
22/12/2003,1092.94
23/12/2003,1096.02
24/12/2003,1094.04
26/12/2003,1095.89
29/12/2003,1109.48
30/12/2003,1109.64
31/12/2003,1111.92
2/1/2004,1108.48
5/1/2004,1122.22
6/1/2004,1123.67
7/1/2004,1126.33
8/1/2004,1131.92
9/1/2004,1121.86
12/1/2004,1127.23
13/01/2004,1121.22
14/01/2004,1130.52
15/01/2004,1132.05
16/01/2004,1139.83
20/01/2004,1138.77
21/01/2004,1147.62
22/01/2004,1143.94
23/01/2004,1141.55
26/01/2004,1155.37
27/01/2004,1144.05
28/01/2004,1128.48
29/01/2004,1134.11
30/01/2004,1131.13
2/2/2004,1135.26
3/2/2004,1136.03
4/2/2004,1126.52
5/2/2004,1128.59
6/2/2004,1142.76
9/2/2004,1139.81
10/2/2004,1145.54
11/2/2004,1157.76
12/2/2004,1152.11
13/02/2004,1145.81
17/02/2004,1156.99
18/02/2004,1151.82
19/02/2004,1147.06
20/02/2004,1144.11
23/02/2004,1140.99
24/02/2004,1139.09
25/02/2004,1143.67
26/02/2004,1144.91
27/02/2004,1144.94
1/3/2004,1155.96
2/3/2004,1149.1
3/3/2004,1151.04
4/3/2004,1154.88
5/3/2004,1156.87
8/3/2004,1147.21
9/3/2004,1140.58
10/3/2004,1123.89
11/3/2004,1106.78
12/3/2004,1120.57
15/03/2004,1104.49
16/03/2004,1110.7
17/03/2004,1123.75
18/03/2004,1122.32
19/03/2004,1109.78
22/03/2004,1095.4
23/03/2004,1093.95
24/03/2004,1091.33
25/03/2004,1109.19
26/03/2004,1108.06
29/03/2004,1122.47
30/03/2004,1127
31/03/2004,1126.21
1/4/2004,1132.17
2/4/2004,1141.81
5/4/2004,1150.57
6/4/2004,1148.16
7/4/2004,1140.53
8/4/2004,1139.32
12/4/2004,1145.2
13/04/2004,1129.44
14/04/2004,1128.17
15/04/2004,1128.84
16/04/2004,1134.61
19/04/2004,1135.82
20/04/2004,1118.15
21/04/2004,1124.09
22/04/2004,1139.93
23/04/2004,1140.6
26/04/2004,1135.53
27/04/2004,1138.11
28/04/2004,1122.41
29/04/2004,1113.89
30/04/2004,1107.3
3/5/2004,1117.49
4/5/2004,1119.55
5/5/2004,1121.53
6/5/2004,1113.99
7/5/2004,1098.7
10/5/2004,1087.12
11/5/2004,1095.45
12/5/2004,1097.28
13/05/2004,1096.44
14/05/2004,1095.7
17/05/2004,1084.1
18/05/2004,1091.49
19/05/2004,1088.68
20/05/2004,1089.19
21/05/2004,1093.56
24/05/2004,1095.41
25/05/2004,1113.05
26/05/2004,1114.94
27/05/2004,1121.28
28/05/2004,1120.68
1/6/2004,1121.2
2/6/2004,1124.99
3/6/2004,1116.64
4/6/2004,1122.5
7/6/2004,1140.42
8/6/2004,1142.18
9/6/2004,1131.33
10/6/2004,1136.47
14/06/2004,1125.29
15/06/2004,1132.01
16/06/2004,1133.56
17/06/2004,1132.05
18/06/2004,1135.02
21/06/2004,1130.3
22/06/2004,1134.41
23/06/2004,1144.06
24/06/2004,1140.65
25/06/2004,1134.43
28/06/2004,1133.35
29/06/2004,1136.2
30/06/2004,1140.84
1/7/2004,1128.94
2/7/2004,1125.38
6/7/2004,1116.21
7/7/2004,1118.33
8/7/2004,1109.11
9/7/2004,1112.81
12/7/2004,1114.35
13/07/2004,1115.14
14/07/2004,1111.47
15/07/2004,1106.69
16/07/2004,1101.39
19/07/2004,1100.9
20/07/2004,1108.67
21/07/2004,1093.88
22/07/2004,1096.84
23/07/2004,1086.2
26/07/2004,1084.06
27/07/2004,1094.83
28/07/2004,1095.42
29/07/2004,1100.43
30/07/2004,1101.72
2/8/2004,1106.62
3/8/2004,1099.69
4/8/2004,1098.63
5/8/2004,1080.7
6/8/2004,1063.97
9/8/2004,1065.22
10/8/2004,1079.04
11/8/2004,1075.79
12/8/2004,1063.23
13/08/2004,1064.8
16/08/2004,1079.34
17/08/2004,1081.71
18/08/2004,1095.17
19/08/2004,1091.23
20/08/2004,1098.35
23/08/2004,1095.68
24/08/2004,1096.19
25/08/2004,1104.96
26/08/2004,1105.09
27/08/2004,1107.77
30/08/2004,1099.15
31/08/2004,1104.24
1/9/2004,1105.91
2/9/2004,1118.31
3/9/2004,1113.63
7/9/2004,1121.3
8/9/2004,1116.27
9/9/2004,1118.38
10/9/2004,1123.92
13/09/2004,1125.82
14/09/2004,1128.33
15/09/2004,1120.37
16/09/2004,1123.5
17/09/2004,1128.55
20/09/2004,1122.2
21/09/2004,1129.3
22/09/2004,1113.56
23/09/2004,1108.36
24/09/2004,1110.11
27/09/2004,1103.52
28/09/2004,1110.06
